1, 102.000000, 4355.399902, 32765, 32765, 0.190000, 0.800000, 0.010000
1, 201.000000, 148.729996, 32765, 32765, 0.200000, 0.800000, 0.000000
1, 1101.000000, 53.939999, 32765, 32765, 0.190000, 0.810000, 0.000000
10, 102.000000, 43129.398438, 327650, 32765, 0.201000, 0.789000, 0.010000
10, 201.000000, 1406.250000, 327650, 32765, 0.174000, 0.826000, 0.000000
10, 1101.000000, 399.839996, 327650, 32765, 0.280000, 0.720000, 0.000000
100, 102.000000, 415090.875000, 3276500, 32765, 0.223100, 0.771300, 0.005600
100, 201.000000, 13421.370117, 3276500, 32765, 0.194200, 0.805800, 0.000000
100, 1101.000000, 3891.889893, 3276500, 32765, 0.289600, 0.710400, 0.000000
1, 102.000000, 3.430000, 32767, 32767, 0.330000, 0.660000, 0.010000
1, 201.000000, 0.000000, 32767, 32767, 0.120000, 0.880000, 0.000000
1, 1101.000000, 0.000000, 32767, 32767, 0.260000, 0.740000, 0.000000
10, 102.000000, 42.259998, 327670, 32767, 0.215000, 0.780000, 0.005000
10, 201.000000, 0.940000, 327670, 32767, 0.186000, 0.814000, 0.000000
10, 1101.000000, 0.000000, 327670, 32767, 0.263000, 0.737000, 0.000000
1, 102.000000, 4.160000, 32767, 32767, 0.200000, 0.800000, 0.000000
1, 201.000000, 0.000000, 32767, 32767, 0.260000, 0.740000, 0.000000
1, 1101.000000, 0.000000, 32767, 32767, 0.260000, 0.740000, 0.000000
10, 102.000000, 37.720001, 327670, 32767, 0.278000, 0.718000, 0.004000
10, 201.000000, 0.970000, 327670, 32767, 0.169000, 0.831000, 0.000000
10, 1101.000000, 0.000000, 327670, 32767, 0.299000, 0.701000, 0.000000
100, 102.000000, 398.359985, 3276700, 32767, 0.252500, 0.742000, 0.005500
100, 201.000000, 12.680000, 3276700, 32767, 0.184500, 0.815500, 0.000000
100, 1101.000000, 3.010000, 3276700, 32767, 0.299800, 0.700200, 0.000000
1000, 102.000000, 3971.300049, 32767000, 32767, 0.255490, 0.738330, 0.006180
1000, 201.000000, 128.929993, 32767000, 32767, 0.194770, 0.805230, 0.000000
1000, 1101.000000, 36.740002, 32767000, 32767, 0.298580, 0.701420, 0.000000
